,Temp,MaxTemp,MinTemp,hPAAtSeaLevel,hPA,Humidity,Visibility,AverageWindSpeed,MaxSustainedWindSpeed,Fog,Percipitation
46,46.4,53.06,42.08,1020.5,1018.9,87,16.1,11.9,25.9,0,1
47,46.22,53.06,39.02,1018.6,1016.8,77,15.6,14.8,33.5,0,1
48,44.239999999999995,55.04,33.98,1020.9,1019.2,70,16.1,9.8,24.1,0,0
49,44.6,55.94,33.08,1023.0,1021.3,53,16.1,7.2,18.3,0,0
50,50.0,55.94,33.08,1016.9,1015.1,68,16.1,17.8,29.4,0,0
51,47.48,55.94,39.92,1007.2,1005.4,65,16.1,20.9,37.0,0,0
52,47.48,55.94,35.06,1015.6,1013.9,38,16.1,13.7,29.4,0,0
53,45.68,57.92,33.08,1024.8,1023.1,60,16.1,7.8,22.2,0,0
54,49.82,60.08,33.08,1024.5,1022.8,75,16.1,6.3,18.3,0,0
55,51.620000000000005,60.08,42.980000000000004,1017.7,1016.1,76,16.1,13.5,27.8,0,0
56,55.4,60.08,46.94,1014.8,1013.1,71,16.1,21.9,31.7,0,1
57,56.120000000000005,64.04,51.98,1013.3,1011.6,83,13.8,27.2,38.9,0,1
58,52.879999999999995,64.04,48.02,1019.8,1017.8,85,13.7,9.1,22.2,0,1
59,50.36,59.0,44.06,1019.4,1017.7,74,16.1,5.2,22.2,0,0
60,56.3,64.94,44.06,1010.6,1008.8,84,12.7,11.3,22.2,0,1
61,56.66,64.94,51.08,1015.5,1013.8,92,14.5,8.9,25.9,0,1
62,53.06,62.959999999999994,48.92,1019.3,1017.6,77,15.9,8.0,22.2,0,1
63,52.879999999999995,59.0,51.08,1014.2,1012.5,86,15.4,9.8,33.5,0,1
64,57.379999999999995,59.0,55.94,1006.2,1004.5,78,15.1,25.2,42.4,0,1
65,52.34,62.059999999999995,50.0,1015.1,1013.3,86,15.0,9.1,25.9,0,1
66,48.56,55.94,41.0,1016.8,1015.2,73,16.1,11.3,27.8,0,1
67,47.3,55.94,41.0,1016.2,1014.6,75,16.1,16.9,29.4,0,1
68,49.46,57.92,41.0,1013.1,1011.4,80,16.1,18.7,25.9,0,1
69,49.64,62.959999999999994,39.92,1017.1,1015.4,79,15.1,7.2,20.6,0,1
70,51.620000000000005,62.959999999999994,39.02,1013.9,1012.2,73,16.1,13.3,37.0,0,1
71,51.620000000000005,60.980000000000004,39.02,1019.3,1017.5,58,16.1,20.4,38.9,0,0
72,51.44,64.94,39.02,1023.6,1022,56,16.1,11.1,25.9,0,0
73,53.06,68.0,39.02,1023.5,1021.8,58,16.1,8.1,22.2,0,0
74,55.4,71.06,39.02,1020.7,1019,61,16.1,8.3,20.6,0,0
75,57.56,73.94,42.08,1018.8,1017.2,59,16.1,5.9,18.3,0,0
76,61.519999999999996,78.08,44.06,1015.0,1013.3,58,16.1,4.4,14.8,0,0
77,59.72,78.08,46.94,1012.4,1010.7,63,15.6,8.5,20.6,0,0
78,56.84,71.96,50.0,1013.5,1011.8,69,15.3,14.4,24.1,0,1
79,52.52,64.04,42.980000000000004,1018.8,1017.1,68,16.1,8.9,27.8,0,0
80,53.06,62.959999999999994,42.980000000000004,1021.5,1019.8,80,15.6,13.5,27.8,0,1
81,55.76,62.059999999999995,44.96,1021.5,1019.8,48,15.0,13.7,29.4,0,1
82,52.52,66.92,41.0,1022.9,1021.2,41,16.1,7.6,25.9,0,0
83,57.2,68.0,41.0,1019.0,1017.4,51,16.1,15.2,27.8,0,1
84,57.56,68.0,48.02,1017.1,1015.6,79,15.4,7.8,20.6,0,1
85,59.18,66.92,51.08,1013.6,1011.9,73,14.2,17.6,42.4,0,1
86,54.86,64.94,44.96,1021.4,1019.7,69,16.1,13.1,22.2,0,0
87,54.32,64.94,44.96,1026.2,1024.6,72,16.1,8.5,25.9,0,0
88,55.4,68.0,44.96,1024.4,1022.8,69,16.1,11.5,29.4,0,0
89,58.459999999999994,75.02,44.06,1021.2,1019.5,62,16.1,9.1,25.9,0,0
90,59.36,75.02,44.06,1016.6,1015,67,16.1,8.0,22.2,0,1
91,58.28,66.92,50.0,1012.4,1010.7,82,15.3,10.6,22.2,0,1
92,57.74,66.92,51.98,1015.8,1014.1,75,16.1,9.4,14.8,0,0
93,57.74,62.959999999999994,51.98,1016.8,1015.1,77,16.1,12.6,22.2,0,1
94,57.02,64.94,51.98,1015.7,1014,78,15.8,13.9,24.1,0,1
95,59.36,69.08,53.06,1018.3,1016.5,73,16.1,13.0,27.8,0,0
96,62.24,68.0,59.0,1021.3,1019.6,65,16.1,8.1,16.5,0,0
97,63.86,75.02,53.06,1023.2,1021.5,78,15.9,10.0,24.1,0,0
98,60.62,75.02,53.06,1023.2,1021.4,70,16.1,24.8,37.0,0,0
99,57.379999999999995,69.08,48.02,1024.8,1023.2,61,16.1,21.3,35.2,0,0
100,57.379999999999995,69.08,46.94,1022.3,1020.7,70,15.9,13.1,35.2,0,0
101,55.94,69.98,46.94,1015.2,1013.6,69,16.1,15.6,35.2,0,0
102,60.62,75.92,46.94,1014.6,1012.9,63,16.1,8.1,24.1,0,0
103,57.379999999999995,75.92,48.02,1015.3,1013.7,78,16.1,12.0,29.4,0,0
104,55.58,66.92,48.02,1012.5,1010.9,59,15.9,8.7,25.9,0,1
105,55.76,66.92,48.92,1015.4,1013.4,75,15.6,13.0,20.6,0,1
106,58.459999999999994,73.94,46.94,1021.8,1020.1,69,16.1,11.3,25.9,0,0
107,63.86,82.04,46.94,1020.4,1018.7,64,16.1,7.8,20.6,0,0
108,66.02,82.04,50.0,1014.9,1013.2,67,16.1,9.4,24.1,0,0
109,59.36,75.92,55.04,1013.7,1012.1,75,16.1,14.4,29.4,0,1
110,56.84,71.06,46.94,1018.2,1016.5,70,15.8,12.2,31.7,0,1
111,61.16,82.04,46.94,1018.5,1016.8,64,15.9,11.1,27.8,0,0
112,68.72,87.98,48.92,1015.4,1013.7,53,16.1,7.6,31.7,0,0
113,74.66,89.06,60.08,1013.2,1011.5,52,16.1,7.6,24.1,0,0
114,67.28,89.06,55.94,1013.4,1011.7,70,15.8,10.4,25.9,0,0
115,62.42,80.06,51.08,1014.4,1012.7,73,15.6,8.0,22.2,0,0
116,62.059999999999995,80.06,51.08,1013.8,1012.1,75,16.1,13.5,24.1,0,0
117,59.36,75.02,51.08,1011.4,1009.7,75,16.1,13.3,22.2,0,0
118,59.18,71.96,51.08,1008.7,1007,72,15.9,15.7,24.1,0,0
119,60.440000000000005,69.98,51.08,1011.8,1010.1,65,16.1,18.3,29.4,0,0
120,59.36,75.02,48.02,1016.1,1014.4,65,16.1,11.7,25.9,0,0
121,62.059999999999995,75.92,48.02,1016.5,1014.8,58,16.1,9.8,25.9,0,0
122,62.42,75.92,48.92,1014.7,1013.1,56,16.1,9.4,25.9,0,0
123,59.36,75.92,50.0,1013.0,1011.4,74,15.3,10.9,29.4,0,0
124,57.74,69.98,50.0,1011.1,1009.4,72,16.1,12.8,27.8,0,0
125,59.18,69.08,53.06,1011.8,1010.1,73,16.1,8.9,24.1,0,1
126,60.26,66.02,57.02,1014.2,1012.3,72,16.1,15.6,18.3,0,0
127,60.980000000000004,73.94,55.94,1016.1,1014.5,75,16.1,12.0,25.9,0,0
128,60.980000000000004,73.94,55.94,1010.1,1008.4,79,16.1,12.0,27.8,0,0
129,62.959999999999994,75.02,55.94,1008.7,1006.9,72,16.1,11.9,24.1,0,0
130,62.6,75.02,55.04,1013.8,1012.2,75,15.8,12.2,25.9,0,1
131,61.34,71.96,55.04,1014.9,1013.1,76,16.1,11.3,24.1,0,0
132,60.62,71.96,51.98,1016.3,1014.7,76,16.1,11.3,25.9,0,0
133,59.9,71.96,51.98,1017.1,1015.3,77,16.1,12.8,29.4,0,0
134,61.34,68.0,55.94,1012.0,1010.3,77,15.9,13.7,27.8,0,1
135,57.379999999999995,64.04,53.06,1009.5,1007.6,83,14.6,16.3,29.4,0,1
136,56.48,66.02,51.98,1018.9,1017.2,71,15.9,11.5,24.1,0,0
137,53.78,66.02,46.04,1015.9,1014.2,76,15.8,13.1,31.7,0,1
138,54.14,62.059999999999995,48.02,1008.6,1006.9,89,15.6,13.7,29.4,0,1
139,55.58,66.02,48.02,1013.6,1011.8,82,15.9,7.0,22.2,0,1
140,56.48,66.02,48.02,1014.5,1012.8,78,15.8,14.8,33.5,0,1
141,58.459999999999994,71.06,53.06,1010.5,1008.9,73,15.9,20.7,31.7,0,1
142,62.78,73.94,53.06,1009.1,1007.4,73,15.9,13.3,24.1,0,0
143,62.78,73.94,53.96,1015.0,1013.3,72,16.1,13.9,22.2,0,0
144,61.16,71.96,55.04,1011.5,1009.8,73,16.1,12.6,31.7,0,0
145,57.2,71.06,53.06,1010.2,1008.6,71,16.1,17.6,29.4,0,1
146,56.66,66.02,51.08,1016.8,1015.1,79,16.1,8.5,20.6,0,1
147,60.26,73.04,51.08,1017.2,1015.5,75,16.1,11.9,25.9,0,0
148,61.88,75.92,53.06,1012.9,1011.2,77,15.1,11.5,29.4,0,0
149,60.440000000000005,75.92,53.06,1013.0,1011.3,79,16.1,12.2,29.4,0,0
150,62.42,78.08,55.04,1012.5,1010.9,77,15.3,10.4,27.8,0,0
151,65.84,80.96,55.04,1009.7,1008.1,76,15.8,10.6,24.1,0,0
152,64.04,80.96,55.94,1010.4,1008.8,77,16.1,15.7,24.1,0,0
153,64.75999999999999,78.08,55.94,1012.3,1010.7,78,15.9,10.9,18.3,0,0
154,68.72,86.0,57.02,1012.3,1010.6,72,15.9,9.3,20.6,0,0
155,71.42,86.0,57.02,1011.4,1009.4,71,15.9,7.4,16.5,0,0
156,64.75999999999999,84.02,55.04,1013.7,1012.1,67,15.8,12.6,27.8,0,0
157,61.88,75.02,51.08,1015.7,1014,56,16.1,13.0,29.4,0,0
158,67.82,84.91999999999999,51.08,1015.3,1013.5,50,16.1,16.3,31.7,0,0
159,75.38,93.02,53.96,1014.9,1013.2,35,16.1,5.9,22.2,0,0
160,82.58,100.03999999999999,59.0,1014.6,1013,33,16.1,7.4,20.6,0,0
161,83.84,100.03999999999999,66.92,1014.6,1013,33,16.1,10.0,27.8,0,0
162,83.66,98.96000000000001,66.92,1012.4,1010.7,40,16.1,9.8,25.9,0,0
163,72.32,82.94,60.980000000000004,1012.5,1010.8,61,16.1,13.3,22.2,0,0
164,65.66,80.96,59.0,1013.2,1011.6,74,16.1,11.1,22.2,0,0
165,61.88,77.0,55.94,1014.5,1012.8,75,16.1,12.4,27.8,0,0
166,62.42,73.04,57.02,1012.6,1011,76,16.1,11.9,25.9,0,0
167,64.22,80.96,53.96,1010.3,1008.6,71,16.1,15.6,24.1,0,0
168,68.54,80.96,53.96,1012.2,1010.5,70,16.1,11.5,24.1,0,0
169,66.92,80.06,57.92,1013.2,1011.5,76,16.1,14.1,22.2,0,0
170,66.92,78.98,57.92,1012.0,1010.3,73,16.1,16.7,25.9,0,0
171,65.66,78.98,55.94,1011.8,1010.1,66,16.1,14.3,25.9,0,0
172,69.44,87.98,55.94,1013.0,1011.3,57,16.1,12.6,35.2,0,0
173,74.12,89.06,55.94,1013.6,1011.9,48,16.1,10.0,29.4,0,0
174,71.42,89.06,57.92,1011.8,1010.1,61,15.9,11.1,22.2,0,0
175,68.36,84.02,55.94,1010.4,1008.7,64,15.4,12.6,27.8,0,0
176,66.2,80.96,55.94,1014.1,1012.4,61,16.1,14.1,27.8,0,0
177,63.86,73.94,55.04,1018.2,1016.5,64,16.1,18.1,35.2,0,0
178,65.3,77.0,55.04,1017.3,1015.6,62,16.1,11.3,25.9,0,0
179,64.04,77.0,53.06,1017.1,1015.4,65,16.1,10.7,31.7,0,0
180,65.12,75.92,53.06,1016.9,1015.2,68,16.1,12.2,27.8,0,0
181,64.75999999999999,77.0,55.04,1017.5,1015.8,71,16.1,11.5,25.9,0,0
182,65.84,77.0,55.94,1015.6,1013.9,65,16.1,10.2,29.4,0,0
183,65.3,78.08,55.94,1013.4,1011.7,68,15.9,12.6,27.8,0,0
184,64.75999999999999,78.08,55.04,1013.4,1011.8,71,16.1,12.8,22.2,0,0
185,65.12,80.06,55.04,1015.2,1013.4,74,15.3,11.7,22.2,0,0
186,66.56,75.92,60.08,1015.7,1014,69,16.1,14.6,22.2,0,0
187,64.94,82.04,53.96,1013.8,1012.1,68,16.1,12.0,29.4,0,0
188,63.68,78.08,55.94,1015.2,1013.4,72,15.9,13.9,31.7,0,0
189,63.14,75.02,55.94,1017.0,1015.3,77,16.1,13.1,29.4,0,0
190,68.0,77.0,55.94,1018.4,1016.7,79,16.1,16.3,25.9,0,0
191,68.72,80.06,60.08,1017.8,1016.1,73,16.1,12.4,27.8,0,0
192,67.28,80.06,59.0,1014.6,1012.9,75,15.9,11.3,25.9,0,0
193,66.02,80.06,55.94,1012.3,1010.6,76,16.1,11.1,22.2,0,0
194,67.82,78.08,55.94,1014.5,1012.8,72,16.1,10.7,20.6,0,0
195,71.24000000000001,84.91999999999999,57.92,1016.0,1014.3,62,16.1,10.9,29.4,0,0
196,70.34,84.91999999999999,59.0,1013.7,1012,68,16.1,10.9,29.4,0,0
197,68.72,84.91999999999999,57.92,1012.3,1010.6,61,16.1,15.9,27.8,0,0
198,71.24000000000001,84.91999999999999,57.02,1012.5,1010.8,61,16.1,16.1,27.8,0,0
199,69.25999999999999,84.02,57.02,1011.8,1010.1,60,16.1,18.3,25.9,0,0
200,68.36,84.02,59.0,1012.6,1010.7,72,16.1,13.5,20.6,0,0
201,67.82,82.04,59.0,1012.7,1011,76,16.1,12.4,22.2,0,0
202,71.78,86.0,59.0,1013.3,1011.9,68,15.9,10.0,22.2,0,0
203,71.06,86.0,60.980000000000004,1015.3,1013.7,69,16.1,12.6,25.9,0,0
204,73.22,91.94,60.980000000000004,1015.2,1013.5,57,16.1,10.4,24.1,0,0
205,75.74000000000001,91.94,60.980000000000004,1012.9,1011.2,54,16.1,11.3,25.9,0,0
206,69.62,86.0,57.92,1015.2,1013.5,69,16.1,11.5,22.2,0,0
207,70.34,89.06,57.92,1016.3,1014.6,68,16.1,10.6,20.6,0,0
208,78.25999999999999,89.06,57.92,1013.1,1011.4,48,16.1,9.6,25.9,0,0
209,68.72,87.98,57.02,1013.5,1011.9,69,16.1,14.6,25.9,0,0
210,66.74000000000001,80.06,57.02,1014.2,1012.6,71,16.1,11.3,25.9,0,0
211,66.56,84.02,57.02,1013.8,1012.1,73,15.9,14.1,24.1,0,0
212,66.2,84.02,55.94,1015.8,1014.2,79,16.1,15.0,27.8,0,0
213,68.54,80.06,55.94,1017.3,1015.6,79,16.1,11.5,25.9,0,0
214,69.8,84.91999999999999,55.94,1014.6,1012.7,73,16.1,10.2,27.8,0,0
215,70.52,84.91999999999999,60.08,1014.1,1012.4,78,16.1,10.9,27.8,0,0
216,68.72,75.02,64.04,1014.5,1012.8,84,16.1,21.1,27.8,0,0
217,70.88,87.08000000000001,60.08,1012.8,1011.2,74,16.1,10.6,25.9,0,0
218,67.46,86.0,59.0,1013.5,1011.8,78,15.6,12.4,29.4,0,0
219,66.92,78.08,59.0,1015.1,1013.4,70,16.1,12.2,31.7,0,0
220,69.08,80.96,59.0,1014.8,1013.1,59,16.1,11.9,29.4,0,0
221,72.14,80.96,60.08,1014.2,1012.5,75,16.1,13.5,31.7,0,0
222,70.52,84.91999999999999,60.980000000000004,1016.5,1014.8,73,16.1,15.4,35.2,0,0
223,73.22,91.03999999999999,60.08,1015.2,1013.5,55,16.1,11.1,33.5,0,0
224,73.58,91.03999999999999,60.08,1014.2,1012.6,56,16.1,10.7,33.5,0,0
225,78.08,98.06,60.980000000000004,1013.7,1012.1,51,16.1,11.1,24.1,0,0
226,82.58,98.96000000000001,64.94,1012.8,1011.2,40,16.1,8.9,27.8,0,0
227,80.78,98.96000000000001,66.02,1010.2,1008.5,42,16.1,11.5,24.1,0,0
228,70.16,95.0,60.08,1009.5,1007.8,66,16.1,17.6,24.1,0,0
229,67.82,84.02,60.08,1010.2,1008.6,69,16.1,20.4,27.8,0,0
230,66.38,78.98,60.08,1013.6,1012.1,78,16.1,12.8,25.9,0,0
231,66.74000000000001,78.08,59.0,1015.7,1014.1,78,16.1,15.4,25.9,0,0
232,68.9,84.91999999999999,57.92,1014.9,1013.2,69,16.1,10.7,33.5,0,0
233,74.84,87.98,57.92,1009.9,1008.3,82,16.1,12.0,25.9,0,0
234,71.78,87.98,62.959999999999994,1007.6,1005.9,67,15.8,12.0,24.1,0,0
235,69.62,84.02,60.980000000000004,1011.9,1010.2,70,16.1,11.9,25.9,0,0
236,70.88,84.02,60.980000000000004,1014.5,1012.9,72,15.8,11.3,20.6,0,0
237,73.04,91.03999999999999,60.08,1012.8,1011.1,59,16.1,9.8,22.2,0,0
238,73.04,91.03999999999999,60.08,1010.2,1008.5,59,16.1,10.6,22.2,0,0
239,69.62,87.08000000000001,60.980000000000004,1011.9,1010.3,69,16.1,11.1,22.2,0,0
240,69.98,80.06,60.980000000000004,1015.8,1014.2,70,16.1,13.9,25.9,0,0
241,69.98,80.06,60.08,1016.4,1014.8,63,16.1,9.8,25.9,0,0
242,70.7,89.96000000000001,59.0,1014.0,1012.4,64,16.1,8.9,24.1,0,0
243,73.94,89.96000000000001,59.0,1012.8,1011.1,57,16.1,9.1,25.9,0,0
244,71.96,89.06,62.059999999999995,1013.5,1011.8,63,16.1,11.7,27.8,0,0
245,67.82,80.96,60.08,1015.3,1013.6,72,16.1,10.9,20.6,0,0
246,69.44,84.91999999999999,60.08,1012.2,1010.6,69,16.1,10.7,24.1,0,0
247,66.2,84.91999999999999,60.08,1014.2,1012.5,76,15.9,13.5,27.8,0,0
248,66.74000000000001,71.96,64.04,1016.5,1014.7,74,16.1,17.6,27.8,0,0
249,65.48,75.92,59.0,1017.7,1016.1,72,16.1,13.0,24.1,0,0
250,66.38,77.0,55.04,1016.0,1014.3,67,16.1,12.8,29.4,0,0
251,66.74000000000001,78.08,55.04,1014.6,1012.9,64,16.1,11.5,29.4,0,0
252,66.74000000000001,78.08,55.94,1012.9,1011.2,63,16.1,12.6,27.8,0,0
253,68.36,84.91999999999999,55.94,1015.5,1013.7,62,16.1,9.3,27.8,0,0
254,72.86,91.94,55.94,1016.0,1014.3,48,16.1,9.1,25.9,0,0
255,77.72,96.08000000000001,57.92,1014.7,1013,40,16.1,8.3,22.2,0,0
256,76.46,96.08000000000001,60.980000000000004,1013.1,1011.4,43,16.1,9.8,25.9,0,0
257,66.92,87.08000000000001,57.92,1012.2,1010.5,70,16.1,12.0,29.4,0,0
258,67.82,78.08,57.92,1012.8,1011.1,74,14.6,14.4,29.4,0,1
259,65.66,78.08,55.04,1016.6,1014.9,62,16.1,10.4,29.4,0,0
260,66.02,75.92,57.92,1014.9,1013.1,70,16.1,11.9,31.7,0,0
261,65.48,78.08,55.94,1013.8,1012.1,64,16.1,10.6,27.8,0,0
262,67.82,84.02,55.04,1013.5,1011.8,54,16.1,10.2,25.9,0,0
263,71.24000000000001,87.08000000000001,57.92,1013.2,1011.5,47,16.1,9.1,24.1,0,0
264,70.52,87.08000000000001,57.92,1012.6,1010.9,52,16.1,9.4,33.5,0,0
265,68.36,84.02,57.92,1013.6,1012,69,16.1,10.2,27.8,0,0
266,74.84,95.0,59.0,1014.5,1012.8,46,16.1,8.0,27.8,0,0
267,79.34,98.96000000000001,59.0,1008.8,1007.2,37,16.1,7.2,24.1,0,0
268,76.46,98.96000000000001,64.04,1009.6,1007.9,52,16.1,17.2,31.7,0,0
269,70.34,82.94,64.94,1012.7,1011,68,16.1,20.4,31.7,0,0
270,60.980000000000004,75.92,51.08,1009.2,1007.5,65,16.1,15.4,37.0,0,0
271,58.28,69.98,46.94,1011.9,1010.3,59,16.1,13.7,29.4,0,0
272,59.0,69.08,46.94,1014.4,1012.7,59,16.1,12.4,29.4,0,0
273,57.02,71.06,44.96,1015.0,1013.3,58,16.1,11.5,27.8,0,0
274,60.62,75.92,48.92,1015.9,1014.2,49,16.1,9.3,31.7,0,0
275,59.9,77.0,46.94,1015.4,1013.7,60,16.1,10.6,35.2,0,0
276,59.36,75.02,46.04,1018.8,1017,54,16.1,8.3,22.2,0,0
277,62.059999999999995,80.06,46.04,1019.4,1017.8,56,16.1,9.6,24.1,0,0
278,66.92,86.0,48.02,1016.4,1014.7,42,16.1,4.8,22.2,0,0
279,70.52,87.98,51.08,1014.6,1012.9,42,16.1,6.5,20.6,0,0
280,69.08,87.98,53.96,1011.7,1010,43,16.1,7.0,20.6,0,0
281,63.86,87.98,53.06,1011.5,1009.9,60,16.1,11.3,24.1,0,0
282,64.75999999999999,78.98,53.06,1013.7,1012,29,16.1,10.0,22.2,0,0
283,63.32,80.96,48.92,1015.4,1013.7,32,16.1,6.1,18.3,0,0
284,63.68,80.96,48.02,1013.0,1011.3,37,16.1,6.7,16.5,0,0
285,62.24,78.98,48.02,1010.8,1009.1,49,16.1,7.6,22.2,0,0
286,58.82,75.02,46.04,1013.2,1011.5,57,16.1,7.6,20.6,0,0
287,58.459999999999994,73.94,46.04,1017.2,1015.7,80,13.4,6.1,14.8,0,0
288,58.459999999999994,71.96,48.02,1016.0,1014.3,75,15.3,6.5,29.4,0,0
289,62.42,69.98,48.92,1013.6,1011.9,66,16.1,14.4,37.0,0,1
290,59.0,71.06,46.94,1017.3,1015.7,72,16.1,10.6,29.4,0,0
291,58.459999999999994,73.04,46.04,1018.8,1017.2,69,16.1,7.8,20.6,0,0
292,60.980000000000004,73.94,46.04,1019.0,1017.9,72,15.3,10.0,24.1,0,0
293,63.68,82.94,51.08,1020.2,1018.5,64,16.1,8.5,20.6,0,0
294,68.72,86.0,51.08,1020.7,1019.1,51,16.1,7.4,22.2,0,0
295,70.16,86.0,53.06,1016.0,1013.7,48,16.1,7.0,20.6,0,0
296,71.24000000000001,89.96000000000001,55.04,1014.8,1014.1,37,16.1,3.9,13.0,0,0
297,71.24000000000001,89.96000000000001,55.04,1017.9,1016.1,34,16.1,6.5,16.5,0,0
298,67.28,89.06,53.06,1012.8,1010.5,42,16.1,6.7,18.3,0,0
299,61.7,82.04,53.06,1009.0,1007.7,41,16.1,15.9,42.4,0,0
300,59.9,71.96,44.96,1016.3,1014.7,22,16.1,11.1,31.7,0,0
301,56.120000000000005,73.94,42.980000000000004,1014.8,1013.1,33,16.1,8.1,25.9,0,0
302,57.379999999999995,73.94,42.08,1017.7,1016.2,25,16.1,6.9,20.6,0,0
303,56.120000000000005,73.04,42.08,1022.7,1021,34,16.1,6.5,13.0,0,0
304,56.66,73.94,41.0,1020.7,1019.1,31,16.1,6.1,13.0,0,0
305,57.379999999999995,75.92,41.0,1019.6,1017.9,35,16.1,4.6,11.1,0,0
306,58.82,78.08,41.0,1016.4,1014.6,35,16.1,5.2,13.0,0,0
307,59.540000000000006,78.08,42.980000000000004,1014.8,1013.1,45,16.1,3.7,13.0,0,0
308,58.28,75.02,46.04,1016.5,1014.8,62,15.8,4.8,11.1,0,0
309,59.0,62.959999999999994,55.04,1016.4,1014.7,71,16.1,5.6,7.6,0,0
310,55.58,66.92,48.92,1017.7,1016.9,82,10.9,4.3,13.0,0,0
311,56.66,69.08,50.0,1021.4,1020.1,77,9.2,5.2,18.3,0,0
312,56.3,69.08,51.08,1020.8,1019,81,10.5,5.6,14.8,0,0
313,55.94,69.98,50.0,1018.3,1016.7,77,11.3,7.0,13.0,0,0
314,59.36,78.08,46.94,1016.7,1015.1,63,16.1,3.3,14.8,0,0
315,62.42,78.08,46.94,1017.4,1015.8,55,16.1,3.7,13.0,0,0
316,59.540000000000006,75.02,48.02,1015.6,1013.8,65,15.1,3.3,16.5,0,0
